id;code;enabled;default_image;default_image_data;default_image_data_content_type;css_style;created_date
1;after and;false;warm handsome while;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-06-10
2;outside chaplain charge;true;notwithstanding killing;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-06-09
3;icky seriously;true;gah urban;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-06-10
4;denominate;true;needily;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-06-09
5;pish icy;false;anenst breath behind;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-06-09
6;scald solemnise;true;absent write;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-06-09
7;teleoperate;false;supreme;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-06-10
8;supposing;true;pish;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-06-10
9;whenever underrate;false;arbitrate;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-06-10
10;forenenst joke genre;true;frank on lightly;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-06-10
