id;code;icon;default_image;default_image_data;default_image_data_content_type;created_date
1;vastly derby what;intone nerve;incidentally usefully;../fake-data/blob/hipster.png;image/png;2024-06-09
2;concerning;up than;energetically;../fake-data/blob/hipster.png;image/png;2024-06-09
3;collectivize lined after;yowza incidentally wise;brave however;../fake-data/blob/hipster.png;image/png;2024-06-09
4;for;gadzooks questioningly yum;yowza;../fake-data/blob/hipster.png;image/png;2024-06-10
5;trained whenever excepting;colorless sever knowingly;smell crusader;../fake-data/blob/hipster.png;image/png;2024-06-10
6;duh suit jeweller;jaggedly whether boohoo;mild;../fake-data/blob/hipster.png;image/png;2024-06-09
7;commiserate;loudly cheerfully per;pish boohoo yet;../fake-data/blob/hipster.png;image/png;2024-06-09
8;powerfully indolent;reconnoitre;humming impressive;../fake-data/blob/hipster.png;image/png;2024-06-10
9;few immunise giving;consign;unless reassuringly blah;../fake-data/blob/hipster.png;image/png;2024-06-10
10;ascertain frightening;warden;up;../fake-data/blob/hipster.png;image/png;2024-06-09
