id;code;enabled;icon;uri;default_image;default_image_data;default_image_data_content_type;created_date
1;what receive;true;sigh consequently ethnicity;yet;rarely on daughter;../fake-data/blob/hipster.png;image/png;2024-06-10
2;winding proliferation;true;smoothly until;condense metabolite what;hemisphere through silver;../fake-data/blob/hipster.png;image/png;2024-06-09
3;finally whoa;true;really yawningly major;because;consequently beside;../fake-data/blob/hipster.png;image/png;2024-06-10
4;mixer excluding;true;fry;amid term middle;rhinoceros avalanche;../fake-data/blob/hipster.png;image/png;2024-06-09
5;ratify incidentally below;false;meh gadzooks continually;weakly balaclava heritage;modulo hm ah;../fake-data/blob/hipster.png;image/png;2024-06-09
6;pension though;false;metallic poor content;flytrap;eager mutate;../fake-data/blob/hipster.png;image/png;2024-06-09
7;furthermore too;false;or however next;near supper over;bulldozer kissingly once;../fake-data/blob/hipster.png;image/png;2024-06-10
8;solicit out rend;true;hm hence ugh;easily;shiny campaign finally;../fake-data/blob/hipster.png;image/png;2024-06-10
9;supposing;false;interesting up boohoo;ah hence rally;slog obediently;../fake-data/blob/hipster.png;image/png;2024-06-09
10;dehumanize out;true;delirious tangible considerate;dispossess quickly;blinker rehome;../fake-data/blob/hipster.png;image/png;2024-06-10
