id;code;enabled;icon;destination_sight;longitude;latitude;created_date;default_image;default_image_data;default_image_data_content_type
1;tenant eek happily;false;bankrupt;true;leafy indeed;famously fluster;2024-06-10;deeply yahoo vague;../fake-data/blob/hipster.png;image/png
2;loathsome meanwhile quirkily;true;softly spork broadly;true;upliftingly;besides psst;2024-06-10;stealthily regarding eek;../fake-data/blob/hipster.png;image/png
3;sleep encyclopedia refract;true;sip stylish;false;framework feedback improve;across ride tempt;2024-06-10;psst ignorant;../fake-data/blob/hipster.png;image/png
4;boutique;true;considering;false;geez after;impassioned lazily duh;2024-06-10;permit messy;../fake-data/blob/hipster.png;image/png
5;when;false;instead nervously;true;gadzooks mousse;unfortunate vet;2024-06-09;recollection;../fake-data/blob/hipster.png;image/png
6;psst gosh ick;false;ack whoa umbrella;true;meridian;bore;2024-06-10;far;../fake-data/blob/hipster.png;image/png
7;gybe;true;that vice;false;chives gosh yahoo;eek quizzical;2024-06-09;resuscitate trusty;../fake-data/blob/hipster.png;image/png
8;buffer weakly;true;unlike swordfight obvious;false;who decimate;easy-going;2024-06-09;propound dangerous gee;../fake-data/blob/hipster.png;image/png
9;by after;false;now around;false;or um;milky partially triumphantly;2024-06-10;gently tumbler;../fake-data/blob/hipster.png;image/png
10;oof inventor;false;counteract and;true;exotic frenetically;arthur furthermore;2024-06-09;kiss stopper sudden;../fake-data/blob/hipster.png;image/png
