id;code;enabled;icon;created_date;default_image;default_image_data;default_image_data_content_type
1;unless;true;incompatible putrid ack;2024-06-09;connotation;../fake-data/blob/hipster.png;image/png
2;get;true;determine unless;2024-06-10;scow;../fake-data/blob/hipster.png;image/png
3;impressive highball;false;hm ick;2024-06-09;huzzah kookily;../fake-data/blob/hipster.png;image/png
4;bare minus regularise;true;criminal geometry;2024-06-10;supposing wherever industry;../fake-data/blob/hipster.png;image/png
5;foal between;false;regularise frightening;2024-06-09;unfit rib reconnoitre;../fake-data/blob/hipster.png;image/png
6;supposing storyboard;false;brr;2024-06-09;youthfully judder;../fake-data/blob/hipster.png;image/png
7;joint reinterpret apostrophize;true;pooh living fossilize;2024-06-10;victory score supposing;../fake-data/blob/hipster.png;image/png
8;wavy visible;true;smoothly per hotdog;2024-06-09;urgently;../fake-data/blob/hipster.png;image/png
9;aside continually trial;false;who neatly;2024-06-09;malinger;../fake-data/blob/hipster.png;image/png
10;reboot;true;former dilution;2024-06-10;awkwardly thoughtfully;../fake-data/blob/hipster.png;image/png
