id;code;enabled;discount;from_date;to_date
1;or geez;false;1382.76;2024-06-10;2024-06-09
2;formal;true;10675.62;2024-06-09;2024-06-09
3;step-grandmother pudding oily;true;22851.04;2024-06-10;2024-06-09
4;mollycoddle sturdy;false;12242.86;2024-06-09;2024-06-09
5;remote until tensely;true;19617.85;2024-06-09;2024-06-10
6;woefully figure smoothly;true;6213.32;2024-06-09;2024-06-09
7;if physically;true;22736.66;2024-06-10;2024-06-09
8;objectify suspiciously utterly;false;25586.57;2024-06-09;2024-06-09
9;pish brr pummel;false;9001.72;2024-06-09;2024-06-09
10;urgently athwart once;false;10172.66;2024-06-10;2024-06-09
