id;code;enabled;kind;mode;icon;duration;duration_measure;pet_friendly;kids_allowed;smoking;available_from_date;available_to_date;initial_price;price;badge;rating;widget_id;external_id;created_date;default_image;default_image_data;default_image_data_content_type;accessibility;audio_guide;tour_guide;css_style;departure;return_time
1;faithfully foolhardy;false;OTHER;MOTOBUS;yahoo made-up;26013;MINUTES;false;true;false;2024-06-09;2024-06-09;32543.42;16405.83;irritably ew;24309;yet drat;alienated;2024-06-10;outlandish who besides;../fake-data/blob/hipster.png;image/png;false;true;true;../fake-data/blob/hipster.txt;2024-06-10;2024-06-09
2;twang;true;ACTIVITY;CAR;proper;24047;MINUTES;false;false;true;2024-06-10;2024-06-09;8278.97;18091.9;work;10505;finally;mouth towards phew;2024-06-09;muscle;../fake-data/blob/hipster.png;image/png;true;true;true;../fake-data/blob/hipster.txt;2024-06-09;2024-06-10
3;sedately;false;EVENT;CAR;reboot;253;DAYS;true;true;false;2024-06-10;2024-06-10;30823.14;26519.43;freon grumpy aftershave;23531;after antique yowza;rude before;2024-06-09;bless;../fake-data/blob/hipster.png;image/png;true;true;true;../fake-data/blob/hipster.txt;2024-06-10;2024-06-09
4;kindly especially;false;TOUR;BOAT;doctorate if amidst;9716;MINUTES;false;true;true;2024-06-09;2024-06-10;18278.53;16049.33;um given;17646;creator;silt into beyond;2024-06-09;incredible;../fake-data/blob/hipster.png;image/png;false;false;false;../fake-data/blob/hipster.txt;2024-06-09;2024-06-09
5;pfft blanket;true;ACTIVITY;CAR;repentant finally before;19457;DAYS;false;true;true;2024-06-09;2024-06-09;7890.35;17568.97;furthermore;14396;throne bookmark;per piece;2024-06-10;amidst uh-huh cautiously;../fake-data/blob/hipster.png;image/png;false;true;true;../fake-data/blob/hipster.txt;2024-06-09;2024-06-09
6;scholarship as;false;OTHER;MOTOBUS;yowza unique;11979;MINUTES;true;false;false;2024-06-09;2024-06-09;13072.35;4051.95;yuck ah;31984;rigidly salty;now;2024-06-10;tomorrow excel however;../fake-data/blob/hipster.png;image/png;true;true;true;../fake-data/blob/hipster.txt;2024-06-09;2024-06-09
7;spirited because;false;EVENT;BOAT;enfold;30178;DAYS;false;false;true;2024-06-10;2024-06-09;28060.77;24306.42;farming originate;28585;ferociously;shallows;2024-06-09;afterwards lanky but;../fake-data/blob/hipster.png;image/png;false;true;true;../fake-data/blob/hipster.txt;2024-06-10;2024-06-09
8;grim;false;OTHER;BICYCLE;creature ew generously;22070;DAYS;false;true;false;2024-06-10;2024-06-09;8372.15;1016.02;abolishment check wiry;20446;necessary;from severe next;2024-06-10;whether incubation;../fake-data/blob/hipster.png;image/png;true;true;true;../fake-data/blob/hipster.txt;2024-06-09;2024-06-10
9;mockingly quickly;false;TOUR;OTHER;sin;31313;HOURS;true;false;true;2024-06-10;2024-06-10;21355.45;15897.19;nor;32137;yum absentmindedly;whoa;2024-06-09;hmph sequence composed;../fake-data/blob/hipster.png;image/png;true;false;true;../fake-data/blob/hipster.txt;2024-06-09;2024-06-09
10;which psst;true;EVENT;CAR;uh-huh amid;6289;DAYS;false;true;true;2024-06-09;2024-06-10;6954.91;13822.55;bleed;30469;really;snail what purl;2024-06-10;unless boastfully surprisingly;../fake-data/blob/hipster.png;image/png;false;false;true;../fake-data/blob/hipster.txt;2024-06-09;2024-06-09
