id;code;enabled;icon;created_date;default_image;default_image_data;default_image_data_content_type
1;after takeover alleviate;false;glance;2024-06-09;sleepily outstanding;../fake-data/blob/hipster.png;image/png
2;adventurous chairman;true;next triangular swath;2024-06-09;down;../fake-data/blob/hipster.png;image/png
3;yuck interchange who;false;happy questionable shoddy;2024-06-10;dutiful irresponsible than;../fake-data/blob/hipster.png;image/png
4;since blow rest;true;ultimately;2024-06-09;vital elated male;../fake-data/blob/hipster.png;image/png
5;eating among;false;compliance;2024-06-09;eek insistent gee;../fake-data/blob/hipster.png;image/png
6;occasional save;false;overlooked;2024-06-09;boohoo er;../fake-data/blob/hipster.png;image/png
7;regarding weatherise gee;false;probate measurement unknown;2024-06-10;now hmph apud;../fake-data/blob/hipster.png;image/png
8;gain screening the;false;finally;2024-06-09;anxiously ethernet up;../fake-data/blob/hipster.png;image/png
9;demanding eek;false;signet bounce;2024-06-09;while editorialize less;../fake-data/blob/hipster.png;image/png
10;since of;true;whose vaguely;2024-06-10;uh-huh;../fake-data/blob/hipster.png;image/png
