id;code;enabled;icon;price;offer;shop_product_id;shop_url;created_date;default_image;default_image_data;default_image_data_content_type
1;olive for solicitor;false;dearest;24406.39;4445.84;donkey within;shatter;2024-06-10;incidentally hasty;../fake-data/blob/hipster.png;image/png
2;crowd;false;refusal;3127.95;4443.07;and;honesty bright;2024-06-10;uh-huh molasses consummate;../fake-data/blob/hipster.png;image/png
3;besides humanize um;false;ick;22281.34;7782.47;regularise obnoxiously pfft;irresponsible;2024-06-09;following for shrug;../fake-data/blob/hipster.png;image/png
4;nor stale before;false;bland;22175.35;16596.12;ah;hip urgently outlive;2024-06-09;clinch now unscramble;../fake-data/blob/hipster.png;image/png
5;these scarcely;false;commonly;13089.88;2783.69;interestingly or eek;throughout meh reluctantly;2024-06-09;alloy unsaddle boldly;../fake-data/blob/hipster.png;image/png
6;exactly hence so;true;insidious;4201.67;3372.82;offensive graceful;mould dungeon;2024-06-10;phew fooey;../fake-data/blob/hipster.png;image/png
7;accommodation;false;fondly;28033.69;21023.92;cheap whether;crooked pard;2024-06-09;herald job;../fake-data/blob/hipster.png;image/png
8;pish odd;true;sack;26285.81;8591.9;till furiously yowza;provided;2024-06-09;vapid worried;../fake-data/blob/hipster.png;image/png
9;distrust blame;false;delightful curly rural;23499.02;16331.86;worth;before knowingly trust;2024-06-09;toothpick;../fake-data/blob/hipster.png;image/png
10;dilate;false;passionate vainly limited;5468.79;1826.95;unto;thankfully pendulum underneath;2024-06-09;pressure;../fake-data/blob/hipster.png;image/png
