id;code;enabled;icon;default_image;default_image_data;default_image_data_content_type;shop_category_id;shop_url;created_date
1;questionnaire jaded instead;false;paltry yowza;fooey;../fake-data/blob/hipster.png;image/png;actuate because;diligently;2024-06-10
2;controversy tensely with;true;gynaecology;eek whose;../fake-data/blob/hipster.png;image/png;so revamp;that of;2024-06-09
3;phooey equally beyond;true;by;blah hallway;../fake-data/blob/hipster.png;image/png;smoulder outside as;pretty pucker;2024-06-10
4;deplane;true;boo oof;and brr blabber;../fake-data/blob/hipster.png;image/png;trivialise client better;boss;2024-06-09
5;by than;true;readily finally;miserably;../fake-data/blob/hipster.png;image/png;whereas;equally population till;2024-06-09
6;so;false;boohoo ordinary;painfully;../fake-data/blob/hipster.png;image/png;before indeed allowance;angrily;2024-06-09
7;peaceful;false;eek rude;afore indeed;../fake-data/blob/hipster.png;image/png;brr;among after;2024-06-10
8;astride frugal;false;founder curate;idolized courageously;../fake-data/blob/hipster.png;image/png;tightly palatable which;colorless utilize release;2024-06-10
9;yippee sponsorship gosh;false;jovially soon idolise;blah remember;../fake-data/blob/hipster.png;image/png;mouton;rare;2024-06-10
10;athwart although;true;throughout why for;uncle walk forenenst;../fake-data/blob/hipster.png;image/png;incidentally;zesty;2024-06-09
