id;code;enabled;icon;step_order;wait_time;wait_time_measure;drive_time;drive_time_measure;created_date;tour_id;place_id
1;woodchuck ha;true;whose gladly;626;23079;DAYS;27342;HOURS;2024-06-09;1;1
2;perennial;true;mmm gosh reluctantly;5119;23784;MINUTES;21349;MINUTES;2024-06-10;2;2
3;venom resource hawk;true;livestock;32040;3277;HOURS;30547;HOURS;2024-06-09;3;3
4;longingly;true;fair impractical pard;13560;7;DAYS;7417;HOURS;2024-06-10;4;4
5;whether;false;aside however yippee;15621;25457;HOURS;8410;MINUTES;2024-06-09;5;5
6;ah;true;last;30185;20514;DAYS;25284;HOURS;2024-06-09;6;6
7;above er for;false;musician hmph;27952;23445;DAYS;32022;DAYS;2024-06-10;7;7
8;reference as;true;third shoulder;9279;28970;MINUTES;20041;HOURS;2024-06-09;8;8
9;gah uh-huh;false;above neatly;21596;1873;HOURS;13313;DAYS;2024-06-09;9;9
10;per after greatly;true;grubby daintily while;20686;10218;MINUTES;12361;MINUTES;2024-06-10;10;10
