id;plate;enabled;type;capacity;color;created_date;default_image;default_image_data;default_image_data_content_type
1;pish until;true;an;9898;ivory;2024-06-09;sadly interconnection meanwhile;../fake-data/blob/hipster.png;image/png
2;writ apud;true;annihilate including pace;3420;maroon;2024-06-09;considering;../fake-data/blob/hipster.png;image/png
3;descriptive;false;yuck because ha;11950;cyan;2024-06-09;deliberately;../fake-data/blob/hipster.png;image/png
4;whereas object rapidly;true;cheerful seriously provided;25179;lime;2024-06-09;when silly confess;../fake-data/blob/hipster.png;image/png
5;interconnect;false;beside;27607;lime;2024-06-09;once teeming;../fake-data/blob/hipster.png;image/png
6;reduction because hundred;true;where indeed;13082;turquoise;2024-06-09;rubbery before vice;../fake-data/blob/hipster.png;image/png
7;tan;true;late before;19767;lavender;2024-06-09;succotash boo;../fake-data/blob/hipster.png;image/png
8;sure-footed decode sometimes;false;scented;6739;violet;2024-06-09;ew tomorrow;../fake-data/blob/hipster.png;image/png
9;forked partially since;true;xylophone;17779;magenta;2024-06-10;antique loosely out;../fake-data/blob/hipster.png;image/png
10;submissive ouch;false;stem;11813;red;2024-06-09;ah gosh depressurize;../fake-data/blob/hipster.png;image/png
