id;code;enabled;uri_path;publish_date;created_date
1;jaw revolt while;false;clear-cut melodic;2024-06-09;2024-06-09
2;phew disastrous;true;a during unsightly;2024-06-09;2024-06-09
3;out jam-packed sew;true;dense psst ugh;2024-06-09;2024-06-09
4;gosh considering excepting;true;since geez radiosonde;2024-06-10;2024-06-09
5;united but joshingly;true;wrinkle boo yet;2024-06-10;2024-06-10
6;dialect sheepishly;true;famously gee;2024-06-10;2024-06-10
7;blah like;false;high urgently glom;2024-06-09;2024-06-09
8;against except;false;vigilant;2024-06-10;2024-06-09
9;righteously gracious;false;antiquity;2024-06-10;2024-06-10
10;knowingly derivative;true;gee cruelly till;2024-06-09;2024-06-09
